I need the update query to sort properly the top  : see sample data for from the ==> rbd -->


sh-5.1$ rbd du -p "$POOL"                                                        
warning: fast-diff map is not enabled for csi-snap-25ae561d-8e68-488c-b5ad-1158f69daae2. operation may be slow.

NAME                                                                                         PROVISIONED  USED    
csi-vol-2cada244-e027-482b-b623-1b53807e7b61                                                       5 GiB   292 MiB
csi-vol-2ce4c3f5-ad1f-498f-b37c-1535fde0236b                                                     500 GiB   150 GiB
csi-vol-2cea1a21-bf1f-4d48-b40f-4ab6dc9f05e1                                                       5 GiB    48 MiB
csi-vol-2cf530f9-2d2a-43d8-b345-d8e531879f76                                                       1 GiB   136 MiB
csi-vol-2cf884dd-c237-40ef-9280-ee51d4215ab6                                                      50 GiB   1.2 GiB
csi-vol-2d10509a-5678-4a27-99e4-74b0216781cd                                                      10 GiB   204 MiB
csi-vol-2d3401af-2580-476a-b35a-0139290744f0                                                      10 GiB   160 MiB
csi-vol-2e0830ab-ebe7-45d5-bcce-7123995bb762                                                       5 GiB   368 MiB
csi-vol-2eae9cbd-3af5-4014-8dd0-9475ee9b059d                                                       1 GiB    28 MiB
csi-vol-2efa24b7-43f4-4bfe-ad9c-36d1ca1b6a88                                                       1 GiB       0 B
csi-vol-2fdf8546-5569-4b7f-9487-f0859d713d5e                                                     100 MiB       0 B
csi-vol-2fecc9a9-6c62-48ae-92d5-43112392eef1                                                      10 GiB   216 MiB
csi-vol-3059a56f-25a6-11ee-908c-0a58af0023ce                                                       5 GiB    76 MiB
csi-vol-30f7c5ae-56c5-4314-a96a-7a6ea64c1d4a                                                       1 GiB   228 MiB
csi-vol-31369d99-c6a9-4f6f-9bba-25c1d4c5018f                                                       1 GiB       0 B
csi-vol-316f9429-bd03-45a6-a211-a6c9da2bcddc                                                       2 GiB   680 MiB
csi-vol-3203cf87-7a6c-490f-9854-81dcb6482a0b                                                      40 GiB    18 GiB
csi-vol-32789d80-7ddc-11ee-9534-0a58af000230                                                       2 GiB   384 MiB
csi-vol-32955fd2-ea4c-4459-8043-6341d16365e6                                                       8 GiB   196 MiB
csi-vol-32d9b6f6-31f5-4c59-b31a-c186587c7e5f                                                      10 GiB   836 MiB
csi-vol-32fb0580-94a1-47ee-84b3-d7684baeca69                                                      10 GiB   9.4 GiB
csi-vol-33337157-3ed0-4503-954f-e83fc9e59d84                                                     500 MiB    60 MiB
csi-vol-33e8a8cc-937e-418d-93a4-a44280356792                                                       1 GiB       0 B
csi-vol-34809a82-187d-4233-852d-a9cbc15ae661                                                      10 GiB   324 MiB
csi-vol-36409bcb-fa2f-4ac1-a4dd-0d6a688bb6a8                                                       1 GiB    28 MiB
